# Program:featureCounts v2.0.4; Command:"featureCounts" "-p" "-a" "/mnt/beegfs/home/s430452/epigenetics/results/s08_counts/master_peaks.saf" "-F" "SAF" "-o" "/mnt/beegfs/home/s430452/epigenetics/results/s08_counts/master_peaks_counts.txt" "-T" "6" "/mnt/beegfs/home/s430452/epigenetics/results/s05_final_bams/ARID2ko_final.bam" "/mnt/beegfs/home/s430452/epigenetics/results/s05_final_bams/ARID2wt_final.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/beegfs/home/s430452/epigenetics/results/s05_final_bams/ARID2ko_final.bam	/mnt/beegfs/home/s430452/epigenetics/results/s05_final_bams/ARID2wt_final.bam
master_peak_77	chr5	746504	746728	.	225	21	16
master_peak_78	chr5	757242	758276	.	1035	71	113
master_peak_79	chr5	775534	775841	.	308	24	27
master_peak_80	chr5	776558	776854	.	297	27	18
master_peak_81	chr5	784087	785577	.	1491	192	345
master_peak_82	chr5	819227	819803	.	577	41	83
master_peak_83	chr5	838460	838862	.	403	81	103
master_peak_84	chr5	841794	842061	.	268	62	65
master_peak_85	chr5	850474	850844	.	371	49	109
master_peak_86	chr5	861636	862133	.	498	90	94
master_peak_87	chr5	862917	863471	.	555	216	148
master_peak_88	chr5	867322	867593	.	272	51	40
master_peak_89	chr5	884454	884798	.	345	31	39
master_peak_90	chr5	891056	891783	.	728	431	708
master_peak_91	chr5	892083	893295	.	1213	509	797
master_peak_92	chr5	902841	903537	.	697	243	264
master_peak_93	chr5	911553	913151	.	1599	2570	2952
master_peak_94	chr5	922979	923866	.	888	322	459
master_peak_95	chr5	932473	933198	.	726	99	170
master_peak_96	chr5	934713	935048	.	336	56	39
master_peak_97	chr5	944008	944261	.	254	30	42
master_peak_98	chr5	948199	948425	.	227	48	22
master_peak_99	chr5	956744	957951	.	1208	2014	2428
master_peak_100	chr5	980072	981192	.	1121	699	1023
master_peak_101	chr5	1010060	1010334	.	275	55	70
master_peak_102	chr5	1017315	1017779	.	465	54	68
master_peak_103	chr5	1053104	1053423	.	320	77	27
master_peak_104	chr5	1066694	1067319	.	626	47	38
master_peak_105	chr5	1101315	1101536	.	222	19	13
master_peak_106	chr5	1111459	1112250	.	792	106	287
master_peak_107	chr5	1112923	1113343	.	421	93	74
master_peak_108	chr5	1117392	1118272	.	881	148	137
master_peak_109	chr5	1139734	1140977	.	1244	233	207
master_peak_110	chr5	1152165	1153576	.	1412	778	1126
master_peak_111	chr5	1161087	1162185	.	1099	2748	3446
master_peak_112	chr5	1167402	1168527	.	1126	835	922
master_peak_113	chr5	1171435	1171704	.	270	277	231
master_peak_114	chr5	1174199	1174842	.	644	459	515
master_peak_115	chr5	1182892	1183774	.	883	812	669
master_peak_116	chr5	1193318	1193808	.	491	60	21
master_peak_117	chr5	1200767	1201102	.	336	39	40
master_peak_118	chr5	1204792	1205121	.	330	93	54
master_peak_119	chr5	1208724	1209526	.	803	310	281
master_peak_120	chr5	1217745	1218002	.	258	24	37
master_peak_121	chr5	1219361	1219818	.	458	38	68
master_peak_122	chr5	1227459	1228286	.	828	172	190
master_peak_123	chr5	1235280	1235652	.	373	90	63
master_peak_124	chr5	1245148	1245457	.	310	46	25
master_peak_125	chr5	1295044	1295366	.	323	31	46
master_peak_126	chr5	1312854	1313317	.	464	40	99
master_peak_129	chr5	1344488	1344751	.	264	26	75
master_peak_130	chr5	1345024	1345617	.	594	191	299
master_peak_131	chr5	1349053	1349547	.	495	88	73
master_peak_132	chr5	1362799	1363319	.	521	47	69
master_peak_133	chr5	1368891	1369127	.	237	22	30
master_peak_134	chr5	1374810	1375065	.	256	42	27
master_peak_135	chr5	1385570	1386739	.	1170	372	754
master_peak_136	chr5	1396150	1396446	.	297	54	67
master_peak_137	chr5	1414648	1414955	.	308	31	28
master_peak_138	chr5	1424151	1424383	.	233	18	10
master_peak_139	chr5	1437312	1437872	.	561	192	172
master_peak_140	chr5	1447761	1447983	.	223	20	24
master_peak_141	chr5	1448686	1449051	.	366	46	60
master_peak_142	chr5	1469818	1470527	.	710	539	328
master_peak_143	chr5	1479717	1479958	.	242	27	22
master_peak_144	chr5	1480928	1481175	.	248	20	21
master_peak_145	chr5	1489013	1489745	.	733	232	260
master_peak_146	chr5	1511779	1512508	.	730	286	431
master_peak_147	chr5	1516244	1516486	.	243	92	59
master_peak_148	chr5	1521878	1522566	.	689	522	703
master_peak_149	chr5	1523931	1524482	.	552	508	558
master_peak_150	chr5	1536335	1536882	.	548	53	83
master_peak_151	chr5	1542816	1543114	.	299	140	121
master_peak_152	chr5	1555070	1556037	.	968	895	1015
master_peak_153	chr5	1563749	1564663	.	915	494	383
master_peak_154	chr5	1583091	1583999	.	909	469	462
master_peak_155	chr5	1588268	1588833	.	566	132	157
master_peak_156	chr5	1599095	1599455	.	361	109	49
master_peak_157	chr5	1608134	1608776	.	643	298	350
master_peak_158	chr5	1633783	1634419	.	637	109	267
master_peak_159	chr5	1641512	1641853	.	342	204	235
master_peak_160	chr5	1644983	1645362	.	380	199	210
master_peak_161	chr5	1652310	1653105	.	796	151	149
master_peak_162	chr5	1653831	1654347	.	517	120	111
master_peak_163	chr5	1668070	1668556	.	487	62	62
master_peak_164	chr5	1673190	1673557	.	368	69	56
master_peak_165	chr5	1698114	1698609	.	496	115	113
master_peak_166	chr5	1703556	1703861	.	306	52	37
master_peak_167	chr5	1709099	1709418	.	320	27	30
master_peak_168	chr5	1725010	1725468	.	459	41	56
master_peak_169	chr5	1732262	1732739	.	478	68	63
master_peak_170	chr5	1737722	1738297	.	576	151	150
master_peak_171	chr5	1763470	1764208	.	739	257	190
master_peak_172	chr5	1772610	1772997	.	388	171	132
master_peak_173	chr5	1777977	1778225	.	249	19	17
master_peak_174	chr5	1789443	1790514	.	1072	1083	1226
master_peak_175	chr5	1792630	1793227	.	598	425	526
master_peak_176	chr5	1799202	1800174	.	973	448	649
master_peak_177	chr5	1801122	1801815	.	694	194	346
master_peak_178	chr5	1808278	1808791	.	514	190	103
master_peak_179	chr5	1831916	1832140	.	225	22	12
master_peak_180	chr5	1851680	1851903	.	224	22	20
master_peak_181	chr5	1859112	1859329	.	218	25	20
master_peak_182	chr5	1871382	1871752	.	371	32	28
master_peak_183	chr5	1892840	1893177	.	338	29	50
master_peak_184	chr5	1898072	1898294	.	223	20	24
master_peak_185	chr5	1917968	1918212	.	245	23	31
master_peak_186	chr5	1930819	1931065	.	247	38	14
master_peak_187	chr5	1952697	1952947	.	251	24	22
master_peak_188	chr5	1959909	1960172	.	264	20	30
master_peak_189	chr5	1973536	1973844	.	309	27	17
master_peak_190	chr5	1976055	1976353	.	299	31	13
master_peak_191	chr5	2017729	2017997	.	269	48	44
master_peak_192	chr5	2024949	2025549	.	601	50	46
master_peak_193	chr5	2038404	2039041	.	638	178	129
master_peak_194	chr5	2048377	2048646	.	270	17	16
master_peak_195	chr5	2052830	2053198	.	369	27	33
master_peak_196	chr5	2067495	2067728	.	234	18	7
master_peak_197	chr5	2093557	2094467	.	911	136	163
master_peak_198	chr5	2105286	2105561	.	276	35	14
master_peak_199	chr5	2110309	2110755	.	447	46	27
master_peak_200	chr5	2129848	2130175	.	328	35	34
master_peak_201	chr5	2134993	2135472	.	480	57	60
master_peak_202	chr5	2148818	2149795	.	978	470	588
master_peak_203	chr5	2156623	2156855	.	233	16	24
master_peak_204	chr5	2187250	2187671	.	422	39	66
master_peak_205	chr5	2207707	2208279	.	573	99	70
master_peak_206	chr5	2223531	2223760	.	230	14	10
master_peak_207	chr5	2294019	2294421	.	403	14	9
master_peak_208	chr5	2387679	2388203	.	525	8	40
master_peak_209	chr5	2428964	2429612	.	649	18	97
master_peak_210	chr5	2429957	2430214	.	258	9	49
master_peak_211	chr5	2430572	2430875	.	304	14	57
master_peak_212	chr5	2511488	2511748	.	261	2	20
master_peak_213	chr5	2538132	2538521	.	390	10	49
master_peak_214	chr5	2797937	2798377	.	441	26	46
master_peak_215	chr5	2817357	2817580	.	224	3	10
master_peak_216	chr5	2908844	2909361	.	518	11	36
master_peak_217	chr5	2995875	2996849	.	975	265	838
master_peak_218	chr5	3139522	3140124	.	603	72	64
master_peak_219	chr5	3155086	3155416	.	331	11	35
master_peak_220	chr5	3197489	3197890	.	402	26	49
master_peak_221	chr5	3276787	3277076	.	290	22	11
master_peak_222	chr5	3310401	3311810	.	1410	2847	3836
master_peak_223	chr5	3320400	3320822	.	423	220	405
master_peak_225	chr5	3340732	3340987	.	256	20	16
master_peak_226	chr5	3517353	3517752	.	400	25	72
master_peak_227	chr5	3526265	3527382	.	1118	125	278
master_peak_228	chr5	3542229	3542934	.	706	208	239
master_peak_229	chr5	3564956	3565195	.	240	3	26
master_peak_230	chr5	3612599	3613369	.	771	20	260
master_peak_231	chr5	3619348	3620182	.	835	22	91
master_peak_232	chr5	3633927	3634581	.	655	11	332
master_peak_233	chr5	3660085	3660693	.	609	47	245
master_peak_234	chr5	3661891	3662575	.	685	11	158
master_peak_235	chr5	3671407	3671673	.	267	6	39
master_peak_236	chr5	3694589	3695310	.	722	117	532
master_peak_237	chr5	3740925	3741735	.	811	55	247
master_peak_238	chr5	3845157	3845482	.	326	6	38
master_peak_239	chr5	3886460	3886800	.	341	14	28
master_peak_240	chr5	4020183	4020852	.	670	21	57
master_peak_241	chr5	4058904	4059230	.	327	16	86
master_peak_242	chr5	4082824	4083707	.	884	39	241
master_peak_243	chr5	4116733	4117385	.	653	31	218
master_peak_244	chr5	4143580	4144648	.	1069	20	159
master_peak_245	chr5	4258319	4258592	.	274	3	27
master_peak_246	chr5	4295780	4296182	.	403	16	64
master_peak_247	chr5	4310786	4311053	.	268	4	22
master_peak_248	chr5	4313085	4313514	.	430	6	36
master_peak_249	chr5	4348321	4348930	.	610	35	240
master_peak_250	chr5	4370143	4370753	.	611	110	548
master_peak_251	chr5	4372553	4373408	.	856	88	476
master_peak_252	chr5	4384680	4384945	.	266	28	120
master_peak_253	chr5	4387097	4387826	.	730	184	543
master_peak_254	chr5	4416501	4416839	.	339	7	25
master_peak_255	chr5	4453624	4453848	.	225	4	17
master_peak_256	chr5	4511921	4512528	.	608	66	144
master_peak_257	chr5	4550866	4551491	.	626	64	186
master_peak_258	chr5	4563264	4563831	.	568	34	124
master_peak_259	chr5	4570179	4571127	.	949	313	716
master_peak_260	chr5	4576053	4576701	.	649	29	154
master_peak_261	chr5	4584809	4585483	.	675	191	549
master_peak_262	chr5	4613791	4614417	.	627	23	62
master_peak_263	chr5	4615422	4615907	.	486	4	51
master_peak_264	chr5	4640840	4641104	.	265	47	106
master_peak_265	chr5	4661854	4663216	.	1363	48	294
master_peak_266	chr5	4699758	4700611	.	854	98	168
master_peak_267	chr5	4720812	4721291	.	480	11	41
master_peak_268	chr5	4777389	4777840	.	452	36	112
master_peak_269	chr5	4780630	4781134	.	505	43	105
master_peak_270	chr5	4801931	4802489	.	559	72	120
master_peak_271	chr5	4816474	4816836	.	363	18	20
master_peak_272	chr5	4847865	4848257	.	393	9	14
master_peak_273	chr5	4857883	4858143	.	261	41	66
master_peak_274	chr5	4868075	4868597	.	523	156	127
master_peak_275	chr5	4879606	4880258	.	653	171	172
master_peak_276	chr5	4905985	4906224	.	240	29	31
master_peak_277	chr5	4924475	4924868	.	394	43	33
master_peak_278	chr5	4938983	4939338	.	356	29	40
master_peak_279	chr5	4942069	4942703	.	635	66	63
master_peak_280	chr5	4994993	4995472	.	480	91	145
master_peak_281	chr5	5005506	5005722	.	217	11	22
master_peak_282	chr5	5014711	5015511	.	801	525	709
master_peak_283	chr5	5018157	5018792	.	636	189	454
master_peak_284	chr5	5025621	5026696	.	1076	978	1574
master_peak_285	chr5	5063666	5064121	.	456	90	71
master_peak_286	chr5	5069837	5070228	.	392	27	52
master_peak_287	chr5	5078490	5079072	.	583	69	74
master_peak_288	chr5	5104543	5104886	.	344	84	66
master_peak_289	chr5	5105604	5105883	.	280	44	23
master_peak_290	chr5	5126230	5126913	.	684	137	225
master_peak_291	chr5	5140455	5140695	.	241	13	45
master_peak_292	chr5	5145733	5146662	.	930	1625	1959
master_peak_293	chr5	5155758	5155985	.	228	10	28
master_peak_294	chr5	5163867	5164633	.	767	331	692
master_peak_295	chr5	5165482	5166013	.	532	350	505
master_peak_296	chr5	5203432	5203892	.	461	53	56
master_peak_297	chr5	5221543	5222320	.	778	401	499
master_peak_298	chr5	5271043	5271868	.	826	894	1118
master_peak_299	chr5	5279144	5279378	.	235	28	19
master_peak_300	chr5	5291302	5291717	.	416	36	87
master_peak_301	chr5	5304387	5304843	.	457	64	56
master_peak_302	chr5	5306751	5307351	.	601	140	112
master_peak_303	chr5	5316365	5316668	.	304	48	60
master_peak_304	chr5	5335748	5336360	.	613	217	383
master_peak_305	chr5	5340213	5340837	.	625	614	753
master_peak_306	chr5	5344081	5344534	.	454	227	255
master_peak_307	chr5	5350006	5350552	.	547	344	522
master_peak_308	chr5	5350988	5352011	.	1024	1461	1872
master_peak_309	chr5	5373923	5374607	.	685	98	163
master_peak_310	chr5	5387339	5387630	.	292	32	35
master_peak_311	chr5	5394420	5394843	.	424	214	240
master_peak_312	chr5	5403685	5403949	.	265	17	15
master_peak_313	chr5	5409215	5409752	.	538	163	146
master_peak_314	chr5	5421895	5423070	.	1176	1957	2578
master_peak_315	chr5	5431858	5432427	.	570	101	133
master_peak_316	chr5	5445654	5446057	.	404	25	19
master_peak_317	chr5	5487854	5488123	.	270	37	15
master_peak_318	chr5	5492270	5492616	.	347	91	95
master_peak_319	chr5	5497108	5497595	.	488	116	167
master_peak_320	chr5	5514498	5514757	.	260	23	14
master_peak_321	chr5	5572091	5572770	.	680	36	188
master_peak_322	chr5	5598468	5599154	.	687	346	284
master_peak_323	chr5	5605177	5605657	.	481	86	108
master_peak_324	chr5	5613619	5613843	.	225	7	19
master_peak_325	chr5	5619280	5620479	.	1200	309	450
master_peak_326	chr5	5629474	5630214	.	741	134	325
master_peak_327	chr5	5646035	5646303	.	269	23	34
master_peak_328	chr5	5651891	5652610	.	720	61	277
master_peak_329	chr5	5658198	5659055	.	858	177	368
master_peak_330	chr5	5665242	5666071	.	830	597	938
master_peak_331	chr5	5667133	5667560	.	428	126	212
master_peak_332	chr5	5678904	5679392	.	489	184	291
master_peak_333	chr5	5699293	5699517	.	225	12	21
master_peak_334	chr5	5705131	5705687	.	557	16	46
master_peak_335	chr5	5716750	5717100	.	351	56	39
master_peak_336	chr5	5782888	5783262	.	375	14	34
master_peak_337	chr5	5826959	5827324	.	366	32	80
master_peak_338	chr5	5891435	5891782	.	348	27	44
master_peak_339	chr5	6037555	6037875	.	321	15	22
master_peak_340	chr5	6158804	6160158	.	1355	740	969
master_peak_341	chr5	6181493	6181710	.	218	10	19
master_peak_342	chr5	6183493	6183796	.	304	28	54
master_peak_343	chr5	6279643	6279863	.	221	25	21
master_peak_344	chr5	6287099	6287361	.	263	19	12
master_peak_345	chr5	6292105	6292361	.	257	46	35
master_peak_346	chr5	6350482	6350857	.	376	39	63
master_peak_347	chr5	6359958	6360588	.	631	37	102
master_peak_348	chr5	6365568	6366220	.	653	110	168
master_peak_349	chr5	6377795	6379028	.	1234	848	1413
master_peak_350	chr5	6400023	6400579	.	557	89	140
master_peak_351	chr5	6423508	6423917	.	410	34	40
master_peak_352	chr5	6427810	6428149	.	340	32	45
master_peak_353	chr5	6449091	6449572	.	482	29	37
master_peak_354	chr5	6454598	6455020	.	423	42	88
master_peak_355	chr5	6487882	6488619	.	738	487	710
master_peak_356	chr5	6499076	6499491	.	416	80	115
master_peak_357	chr5	6504982	6505722	.	741	76	107
master_peak_358	chr5	6517328	6517823	.	496	56	110
master_peak_359	chr5	6525959	6526337	.	379	95	73
master_peak_360	chr5	6551320	6551598	.	279	31	39
master_peak_361	chr5	6574620	6574870	.	251	35	46
master_peak_362	chr5	6576799	6577244	.	446	127	143
master_peak_363	chr5	6585142	6585949	.	808	51	103
master_peak_364	chr5	6596637	6596856	.	220	21	23
master_peak_365	chr5	6614726	6615075	.	350	30	23
master_peak_366	chr5	6632629	6634214	.	1586	1546	2307
master_peak_367	chr5	6676687	6677037	.	351	46	57
master_peak_368	chr5	6703945	6705031	.	1087	255	630
master_peak_369	chr5	6712011	6713583	.	1573	2026	2504
master_peak_370	chr5	6732609	6733253	.	645	70	102
master_peak_371	chr5	6745443	6746054	.	612	66	78
master_peak_372	chr5	6765569	6767114	.	1546	1886	2387
master_peak_373	chr5	6772809	6773747	.	939	912	813
master_peak_374	chr5	6780705	6781222	.	518	107	108
master_peak_375	chr5	6804902	6805298	.	397	36	60
master_peak_376	chr5	6822374	6823320	.	947	77	177
master_peak_377	chr5	6824089	6824403	.	315	38	71
master_peak_378	chr5	6827767	6828021	.	255	14	58
master_peak_379	chr5	6833242	6833692	.	451	22	78
master_peak_380	chr5	6837317	6838074	.	758	82	83
master_peak_381	chr5	6849507	6850231	.	725	70	214
master_peak_382	chr5	6858542	6858767	.	226	14	22
master_peak_383	chr5	6950077	6950708	.	632	41	80
master_peak_384	chr5	6966117	6966723	.	607	6	42
master_peak_385	chr5	7066749	7067126	.	378	14	80
master_peak_386	chr5	7068205	7068892	.	688	9	70
master_peak_387	chr5	7169370	7169733	.	364	12	36
master_peak_388	chr5	7170585	7171095	.	511	7	73
master_peak_389	chr5	7261120	7261459	.	340	32	77
master_peak_390	chr5	7321531	7322146	.	616	58	342
master_peak_391	chr5	7373081	7373299	.	219	3	15
master_peak_392	chr5	7392307	7392690	.	384	36	69
master_peak_393	chr5	7411036	7411443	.	408	7	84
master_peak_394	chr5	7597188	7597429	.	242	10	32
master_peak_395	chr5	7638565	7638857	.	293	11	52
master_peak_396	chr5	7705400	7705700	.	301	6	31
master_peak_397	chr5	7713970	7714888	.	919	79	447
master_peak_398	chr5	7728187	7728593	.	407	6	35
master_peak_399	chr5	7742210	7742562	.	353	31	90
master_peak_400	chr5	7746054	7746393	.	340	80	93
master_peak_401	chr5	7754842	7755585	.	744	155	225
master_peak_402	chr5	7760154	7760410	.	257	10	22
master_peak_403	chr5	7816019	7816719	.	701	323	336
master_peak_404	chr5	7842829	7843078	.	250	18	38
master_peak_405	chr5	7848250	7848743	.	494	44	116
master_peak_406	chr5	7856928	7857297	.	370	72	49
master_peak_407	chr5	7868626	7869730	.	1105	947	1422
master_peak_408	chr5	7876666	7877316	.	651	120	233
master_peak_409	chr5	7887016	7887399	.	384	43	69
master_peak_410	chr5	7896923	7897455	.	533	233	290
master_peak_411	chr5	7902126	7902707	.	582	118	116
master_peak_412	chr5	7903956	7904693	.	738	226	323
master_peak_413	chr5	7916339	7916799	.	461	25	42
master_peak_414	chr5	7926133	7926751	.	619	152	282
master_peak_415	chr5	7927821	7928234	.	414	120	198
master_peak_416	chr5	7976219	7976987	.	769	18	206
master_peak_417	chr5	7991260	7991531	.	272	1	71
master_peak_418	chr5	8010306	8010606	.	301	0	44
master_peak_419	chr5	8014251	8014625	.	375	3	44
master_peak_420	chr5	8060795	8061496	.	702	17	477
master_peak_421	chr5	8080609	8080957	.	349	0	22
master_peak_422	chr5	8089717	8089959	.	243	3	19
master_peak_423	chr5	8149326	8149953	.	628	10	97
master_peak_424	chr5	8209614	8209957	.	344	3	55
master_peak_425	chr5	8226669	8227458	.	790	9	95
master_peak_426	chr5	8229814	8230241	.	428	14	155
master_peak_427	chr5	8247224	8247839	.	616	15	122
master_peak_428	chr5	8269868	8270547	.	680	7	144
master_peak_429	chr5	8272281	8272783	.	503	9	100
master_peak_430	chr5	8306534	8306755	.	222	1	23
master_peak_431	chr5	8322493	8322822	.	330	6	71
master_peak_432	chr5	8329753	8330342	.	590	44	196
master_peak_433	chr5	8340121	8341020	.	900	76	281
master_peak_434	chr5	8362976	8363620	.	645	95	245
master_peak_435	chr5	8366258	8366629	.	372	45	230
master_peak_436	chr5	8395125	8395409	.	285	20	21
master_peak_437	chr5	8396640	8397009	.	370	3	69
master_peak_438	chr5	8417672	8418216	.	545	20	52
master_peak_439	chr5	8440443	8440845	.	403	23	88
master_peak_440	chr5	8457162	8458259	.	1098	1622	2662
master_peak_441	chr5	8478384	8478788	.	405	7	70
master_peak_442	chr5	8491348	8491658	.	311	4	50
master_peak_443	chr5	8500464	8500779	.	316	7	80
master_peak_444	chr5	8508110	8508751	.	642	109	401
master_peak_445	chr5	8517331	8517831	.	501	29	220
master_peak_446	chr5	8520927	8521416	.	490	41	219
master_peak_447	chr5	8535143	8535669	.	527	14	76
master_peak_448	chr5	8597890	8598606	.	717	13	81
master_peak_449	chr5	8601873	8602284	.	412	10	82
master_peak_450	chr5	8614521	8614879	.	359	7	31
master_peak_451	chr5	8633824	8634320	.	497	16	67
master_peak_452	chr5	8650012	8650725	.	714	278	771
master_peak_453	chr5	8686258	8686548	.	291	8	19
master_peak_454	chr5	8721662	8721958	.	297	28	25
master_peak_455	chr5	8730254	8730514	.	261	11	85
master_peak_456	chr5	8756461	8757045	.	585	115	98
master_peak_457	chr5	8775245	8775907	.	663	388	322
master_peak_458	chr5	8807750	8808165	.	416	49	114
master_peak_459	chr5	8828744	8829931	.	1188	1521	1888
master_peak_460	chr5	8839226	8839932	.	707	286	318
master_peak_461	chr5	8843071	8843480	.	410	144	174
master_peak_462	chr5	8849293	8849660	.	368	100	185
master_peak_463	chr5	8863897	8864415	.	519	144	157
master_peak_464	chr5	8906495	8908297	.	1803	671	823
master_peak_465	chr5	8912055	8912621	.	567	234	283
master_peak_466	chr5	8934442	8934710	.	269	20	22
master_peak_467	chr5	8943413	8944329	.	917	84	107
master_peak_468	chr5	8955384	8955747	.	364	23	17
master_peak_469	chr5	8979545	8980079	.	535	133	233
master_peak_470	chr5	8981341	8981796	.	456	96	121
master_peak_471	chr5	8993006	8993476	.	471	76	73
master_peak_472	chr5	8997956	8998206	.	251	12	19
master_peak_473	chr5	9013937	9014642	.	706	283	512
master_peak_474	chr5	9015541	9016365	.	825	274	413
master_peak_475	chr5	9025886	9026258	.	373	37	39
master_peak_476	chr5	9034679	9035214	.	536	36	140
master_peak_477	chr5	9046407	9047378	.	972	1425	1674
master_peak_478	chr5	9059607	9060522	.	916	920	1283
master_peak_479	chr5	9099666	9100129	.	464	56	67
master_peak_480	chr5	9114898	9115267	.	370	29	19
master_peak_481	chr5	9126527	9126771	.	245	15	28
master_peak_482	chr5	9131568	9131959	.	392	69	131
master_peak_483	chr5	9149730	9150629	.	900	883	941
master_peak_484	chr5	9156337	9156748	.	412	141	113
master_peak_485	chr5	9166589	9167018	.	430	31	45
master_peak_486	chr5	9173602	9173922	.	321	62	73
master_peak_487	chr5	9187856	9188587	.	732	210	336
master_peak_488	chr5	9207789	9208394	.	606	95	83
master_peak_489	chr5	9210022	9210452	.	431	43	77
master_peak_490	chr5	9239154	9239439	.	286	34	44
master_peak_491	chr5	9244603	9245496	.	894	524	631
master_peak_492	chr5	9251437	9251767	.	331	14	61
master_peak_493	chr5	9254918	9255584	.	667	95	114
master_peak_494	chr5	9265191	9266009	.	819	586	805
master_peak_495	chr5	9282176	9282515	.	340	43	41
master_peak_496	chr5	9283009	9283452	.	444	64	62
master_peak_497	chr5	9302202	9302644	.	443	53	47
master_peak_498	chr5	9335389	9335626	.	238	28	42
master_peak_499	chr5	9337867	9338428	.	562	78	215
master_peak_500	chr5	9343251	9343486	.	236	19	65
master_peak_501	chr5	9348120	9348899	.	780	123	239
master_peak_502	chr5	9350343	9350723	.	381	68	54
master_peak_503	chr5	9359144	9359618	.	475	118	193
master_peak_504	chr5	9361645	9362208	.	564	138	149
master_peak_505	chr5	9380117	9380385	.	269	36	27
master_peak_506	chr5	9437542	9438261	.	720	276	574
master_peak_507	chr5	9453967	9454259	.	293	30	33
master_peak_508	chr5	9456212	9456851	.	640	34	85
master_peak_509	chr5	9467577	9468475	.	899	886	1222
master_peak_510	chr5	9479333	9479709	.	377	39	43
master_peak_511	chr5	9483296	9483603	.	308	16	54
master_peak_512	chr5	9498728	9499213	.	486	108	121
master_peak_513	chr5	9513946	9514229	.	284	28	39
